Time,LocationID,ScreenX,ScreenY,City,Province,Country,Continent,Lat,Long,DeviceType,Section
562,gill_rego-652,1000,1014,Gillam,Manitoba,CAN,NA,56.35,-94.66,Real-time ASI Images,CAN-MB
562,kapu_themis-gmag,1200,1200,Kapuskasing,Ontario,CAN,NA,49.39,-82.32,THEMIS Magnetometer,CAN-ON
563,norstar-data1_server-07,678,1110,Calgary,Alberta,CAN,NA,51.08,-114.13,Data Management Systems,CAN-AB
563,resu_rego-655,1030,477,Resolute Bay,Nunavut,CAN,NA,74.73,-94.9,Redline Camera,CAN-NU
563,whit_themis-gmag,470,717,Whitehorse,Yukon,CAN,NA,61.01,-135.22,THEMIS Magnetometer,CAN-YT
564,fsim_rego-654,676,800,Fort Simpson,Northwest Territories,CAN,NA,61.76,-121.22,Real-time ASI Images,CAN-NT
564,fykn_gbo-12,481,544,Fort Yukon,Alaska,USA,NA,66.56,-145.21,THEMIS Observatory,USA-AK
564,kakt_rego-798,564,460,Kaktovik,Alaska,USA,NA,51.08,-114.13,Real-time ASI Images,USA-AK
565,atha_rainbow-01,714,1053,Athabasca,Alberta,CAN,NA,54.72,-113.28,Real-time ASI Images,CAN-AB
565,ns4_server-53,678,1110,Calgary,Alberta,CAN,NA,51.08,-114.13,Data Management Systems,CAN-AB
566,whit_themis07,470,717,Whitehorse,Yukon,CAN,NA,61.01,-135.22,Real-time ASI Images,CAN-YT
567,rabb_iti-15,795,1095,Rabbit Lake,Manitoba,CAN,NA,58.23,-103.68,Remote IT Infrastructure,CAN-MB
569,pgeo_themis-gmag,573,1006,Prince George,British Columbia,CAN,NA,53.82,-122.83,THEMIS Magnetometer,CAN-BC
571,calg_gbo-13,678,1110,Calgary,Alberta,CAN,NA,51.08,-114.13,THEMIS Observatory,CAN-AB
572,larg_autumn-gmag,678,1110,Larage,Alberta,CAN,NA,51.08,-114.13,Autumn Magnetometer,CAN-AB
573,calg_rego-650,678,1110,Calgary,Alberta,CAN,NA,51.08,-114.13,Redline Camera,CAN-AB
574,tpas_themis-gmag,901,1085,The Pas,Manitoba,CAN,NA,53.99,-100.94,THEMIS Magnetometer,CAN-MB
